Prod.,sales,Make,Type,dates,Interest rates,Exchange rates
72873,74748,TOTAL,None,31-07-11,14.62, 94.5883 
70726,72399,TOTAL,None,31-08-11,14.22, 93.5417 
76342,73300,TOTAL,None,30-09-11,14.28, 94.7190 
69669,70809,TOTAL,None,31-10-11,13.97, 93.3032 
68472,68196,TOTAL,None,30-11-11,13.58, 95.5799 
58560,59635,TOTAL,None,31-12-11,13.23, 98.5189 
67632,67579,TOTAL,None,31-01-12,13.18,98.7072
64756,65011,TOTAL,None,29-02-12,13.14,99.7072
71711,70671,TOTAL,None,31-03-12,12.8,100.7072
68566,66416,TOTAL,None,30-04-12,12.83,101.7072
71169,71681,TOTAL,None,31-05-12,12.94,102.7072
68100,69448,TOTAL,None,30-06-12,13.13,103.7072
67845,69204,TOTAL,None,31-07-12,13.03,104.7072
65736,66974,TOTAL,None,31-08-12,12.51,105.7072
69819,69304,TOTAL,None,30-09-12,12.07,106.7072
74109,73154,TOTAL,None,31-10-12,11.29,107.7072
69852,67744,TOTAL,None,30-11-12,10.91,108.7072
64950,66819,TOTAL,None,31-12-12,11.07,109.7072
69250,69357,TOTAL,None,31-01-13,10.61,110.7072
64016,64080,TOTAL,None,28-02-13,10.53,111.7072
72862,73465,TOTAL,None,31-03-13,10.46,112.7072
67876,65653,TOTAL,None,30-04-13,10.51,113.7072
66753,67273,TOTAL,None,31-05-13,10.65,114.7072
66488,67190,TOTAL,None,30-06-13,10.56,115.7072
65247,68065,TOTAL,None,31-07-13,10.2,116.7072
62665,63068,TOTAL,None,31-08-13,9.69,117.7072
67586,64913,TOTAL,None,30-09-13,9.7,118.7072
65034,67329,TOTAL,None,31-10-13,10.38,119.7072
65001,63123,TOTAL,None,30-11-13,10,120.7072
61985,61307,TOTAL,None,31-12-13,10.54,121.7072
68922,70504,TOTAL,None,31-01-14,11.02,122.7072
65262,62212,TOTAL,None,28-02-14,10.66,123.7072
64878,66565,TOTAL,None,31-03-14,10.53,124.7072
61234,60160,TOTAL,None,30-04-14,10.81,125.7072
62739,63431,TOTAL,None,31-05-14,10.59,126.7072
60954,61369,TOTAL,None,30-06-14,10.37,127.7072
53906,55456,TOTAL,None,31-07-14,10.38,128.7072
55595,55893,TOTAL,None,31-08-14,10.33,129.7072
58656,57725,TOTAL,None,30-09-14,10.3,130.7072
62230,62522,TOTAL,None,31-10-14,10.48,131.7072
64031,61299,TOTAL,None,30-11-14,10.41,132.7072
58599,60927,TOTAL,None,31-12-14,10.28,133.7072
66416,66554,TOTAL,None,31-01-15,10.35,134.7072
61244,61611,TOTAL,None,28-02-15,9.5,135.7072
65678,65877,TOTAL,None,31-03-15,9.31,136.7072
70426,71032,TOTAL,None,30-04-15,8.85,137.7072
75567,75929,TOTAL,None,31-05-15,8.61,138.7072
72847,71908,TOTAL,None,30-06-15,8.24,139.7072
100089,100158,TOTAL,None,31-07-15,7.88,140.7072
118348,115085,TOTAL,None,31-08-15,7.78,141.7072
107754,106146,TOTAL,None,30-09-15,7.78,142.7072
112436,112958,TOTAL,None,31-10-15,7.57,143.7072
114245,114666,TOTAL,None,30-11-15,7.32,144.7072
104411,102325,TOTAL,None,31-12-15,7.28,145.7072
118058,119515,TOTAL,None,31-01-16,7.15,146.7072
106894,107870,TOTAL,None,29-02-16,7.28,147.7072
115805,114613,TOTAL,None,31-03-16,7.13,148.7072
121649,121708,TOTAL,None,30-04-16,6.03,149.7072
123590,124236,TOTAL,None,31-05-16,7.07,150.7072
118817,119363,TOTAL,None,30-06-16,7.15,151.7072
107199,106823,TOTAL,None,31-07-16,6.95,152.7072
133738,133093,TOTAL,None,31-08-16,6.82,153.7072
123599,124219,TOTAL,None,30-09-16,6.9,154.7072
140727,140644,TOTAL,None,31-10-16,6.96,155.7072
147366,147204,TOTAL,None,30-11-16,6.84,156.7072
139465,137750,TOTAL,None,31-12-16,7,157.7072
143857,143871,TOTAL,None,31-01-17,7.09,158.7072
135503,135507,TOTAL,None,28-02-17,6.95,159.7072
140000,138877,TOTAL,None,31-03-17,6.93,160.7072
139444,137550,TOTAL,None,30-04-17,6.9,161.7072
153547,155855,TOTAL,None,31-05-17,6.93,162.7072
128520,129342,TOTAL,None,30-06-17,7.07,163.7072
154943,154943,TOTAL,None,31-07-17,7.03,164.7072
170058,170058,TOTAL,None,31-08-17,6.86,165.7072
146018,146018,TOTAL,None,30-09-17,6.92,166.7072
166001,166001,TOTAL,None,31-10-17,7.01,167.7072
150690,150690,TOTAL,None,30-11-17,7.07,168.7072
153528,153528,TOTAL,None,31-12-17,7.04,169.7072
170456,170456,TOTAL,None,31-01-18,7.11,170.7072
146310,146310,TOTAL,None,28-02-18,7.01,171.7072
168883,168883,TOTAL,None,31-03-18,7,172.7072
176931,176931,TOTAL,None,30-04-18,7.22,173.7072
169298,169298,TOTAL,None,31-05-18,7.16,174.7072
158224,158224,TOTAL,None,30-06-18,7.45,175.7072
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
